Distribution,Doors,Won % switch, Won % non-switch
poisson,100,99.0,1.0
laplace,100,98.0,2.0
logistic,100,98.0,2.0
uniform,100,99.0,1.0
rayleigh,100,96.0,4.0
normal,101,100.0,0.0
binomial,101,99.0,1.0
exponential,101,99.0,1.0
poisson,101,100.0,0.0
laplace,101,100.0,0.0
logistic,101,100.0,0.0
uniform,101,100.0,0.0
rayleigh,101,99.0,1.0
normal,102,98.0,2.0
binomial,102,98.0,2.0
exponential,102,100.0,0.0
poisson,102,97.0,3.0
laplace,102,95.0,5.0
logistic,102,96.0,4.0
uniform,102,99.0,1.0
rayleigh,102,100.0,0.0
normal,103,99.0,1.0
binomial,103,100.0,0.0
exponential,103,99.0,1.0
poisson,103,99.0,1.0
laplace,103,99.0,1.0
logistic,103,100.0,0.0
uniform,103,98.0,2.0
rayleigh,103,100.0,0.0
normal,104,99.0,1.0
binomial,104,98.0,2.0
exponential,104,100.0,0.0
poisson,104,99.0,1.0
laplace,104,98.0,2.0
logistic,104,99.0,1.0
uniform,104,100.0,0.0
rayleigh,104,97.0,3.0
normal,105,97.0,3.0
binomial,105,99.0,1.0
exponential,105,100.0,0.0
poisson,105,98.0,2.0
laplace,105,99.0,1.0
logistic,105,98.0,2.0
uniform,105,100.0,0.0
rayleigh,105,97.0,3.0
normal,106,98.0,2.0
binomial,106,100.0,0.0
exponential,106,99.0,1.0
poisson,106,99.0,1.0
laplace,106,99.0,1.0
logistic,106,100.0,0.0
uniform,106,98.0,2.0
rayleigh,106,99.0,1.0
normal,107,98.0,2.0
binomial,107,97.0,3.0
exponential,107,100.0,0.0
poisson,107,100.0,0.0
laplace,107,99.0,1.0
logistic,107,99.0,1.0
uniform,107,100.0,0.0
rayleigh,107,100.0,0.0
normal,108,100.0,0.0
binomial,108,99.0,1.0
exponential,108,99.0,1.0
poisson,108,99.0,1.0
laplace,108,99.0,1.0
logistic,108,100.0,0.0
uniform,108,99.0,1.0
rayleigh,108,99.0,1.0
normal,109,100.0,0.0
binomial,109,100.0,0.0
exponential,109,98.0,2.0
poisson,109,100.0,0.0
laplace,109,100.0,0.0
logistic,109,100.0,0.0
uniform,109,98.0,2.0
rayleigh,109,99.0,1.0
normal,110,100.0,0.0
binomial,110,99.0,1.0
exponential,110,100.0,0.0
poisson,110,100.0,0.0
laplace,110,98.0,2.0
logistic,110,100.0,0.0
uniform,110,99.0,1.0
rayleigh,110,98.0,2.0
normal,111,99.0,1.0
binomial,111,100.0,0.0
exponential,111,99.0,1.0
poisson,111,98.0,2.0
laplace,111,97.0,3.0
logistic,111,100.0,0.0
uniform,111,100.0,0.0
rayleigh,111,100.0,0.0
normal,112,98.0,2.0
binomial,112,99.0,1.0
exponential,112,99.0,1.0
poisson,112,100.0,0.0
laplace,112,97.0,3.0
logistic,112,96.0,4.0
uniform,112,99.0,1.0
rayleigh,112,97.0,3.0
normal,113,100.0,0.0
binomial,113,98.0,2.0
exponential,113,98.0,2.0
poisson,113,98.0,2.0
laplace,113,100.0,0.0
logistic,113,98.0,2.0
uniform,113,99.0,1.0
rayleigh,113,99.0,1.0
normal,114,100.0,0.0
binomial,114,97.0,3.0
exponential,114,100.0,0.0
poisson,114,98.0,2.0
laplace,114,99.0,1.0
logistic,114,99.0,1.0
uniform,114,99.0,1.0
rayleigh,114,100.0,0.0
normal,115,100.0,0.0
binomial,115,100.0,0.0
exponential,115,99.0,1.0
poisson,115,100.0,0.0
laplace,115,99.0,1.0
logistic,115,100.0,0.0
uniform,115,100.0,0.0
rayleigh,115,98.0,2.0
normal,116,99.0,1.0
binomial,116,96.0,4.0
exponential,116,98.0,2.0
poisson,116,99.0,1.0
laplace,116,98.0,2.0
logistic,116,99.0,1.0
uniform,116,98.0,2.0
rayleigh,116,99.0,1.0
normal,117,98.0,2.0
binomial,117,100.0,0.0
exponential,117,100.0,0.0
poisson,117,98.0,2.0
laplace,117,99.0,1.0
logistic,117,99.0,1.0
uniform,117,100.0,0.0
rayleigh,117,96.0,4.0
normal,118,98.0,2.0
binomial,118,97.0,3.0
exponential,118,99.0,1.0
poisson,118,100.0,0.0
laplace,118,99.0,1.0
logistic,118,99.0,1.0
uniform,118,100.0,0.0
rayleigh,118,100.0,0.0
normal,119,100.0,0.0
binomial,119,98.0,2.0
exponential,119,100.0,0.0
poisson,119,99.0,1.0
laplace,119,100.0,0.0
logistic,119,99.0,1.0
uniform,119,99.0,1.0
rayleigh,119,100.0,0.0
normal,120,100.0,0.0
binomial,120,98.0,2.0
exponential,120,100.0,0.0
poisson,120,99.0,1.0
laplace,120,100.0,0.0
logistic,120,99.0,1.0
uniform,120,99.0,1.0
rayleigh,120,100.0,0.0
normal,121,98.0,2.0
binomial,121,100.0,0.0
exponential,121,98.0,2.0
poisson,121,99.0,1.0
laplace,121,98.0,2.0
logistic,121,99.0,1.0
uniform,121,99.0,1.0
rayleigh,121,98.0,2.0
normal,122,100.0,0.0
binomial,122,98.0,2.0
exponential,122,99.0,1.0
poisson,122,100.0,0.0
laplace,122,100.0,0.0
logistic,122,99.0,1.0
uniform,122,100.0,0.0
rayleigh,122,100.0,0.0
normal,123,99.0,1.0
binomial,123,99.0,1.0
exponential,123,100.0,0.0
poisson,123,100.0,0.0
laplace,123,99.0,1.0
logistic,123,100.0,0.0
uniform,123,100.0,0.0
rayleigh,123,99.0,1.0
normal,124,98.0,2.0
binomial,124,98.0,2.0
exponential,124,100.0,0.0
poisson,124,99.0,1.0
laplace,124,99.0,1.0
logistic,124,100.0,0.0
uniform,124,100.0,0.0
