Distribution,Trials,Won % switch, Won % non-switch
normal,722,28.3933518,71.6066482
binomial,722,37.25761773,62.74238227
exponential,722,23.54570637,76.45429363
poisson,722,87.11911357,12.88088643
laplace,722,62.74238227,37.25761773
logistic,722,87.25761773,12.74238227
uniform,722,36.84210526,63.15789474
rayleigh,722,36.56509695,63.43490305
normal,732,77.73224044,22.26775956
binomial,732,71.31147541,28.68852459
exponential,732,77.45901639,22.54098361
poisson,732,50.40983607,49.59016393
laplace,732,35.6557377,64.3442623
logistic,732,61.74863388,38.25136612
uniform,732,21.03825137,78.96174863
rayleigh,732,72.26775956,27.73224044
normal,742,47.4393531,52.5606469
binomial,742,60.10781671,39.89218329
exponential,742,25.87601078,74.12398922
poisson,742,35.98382749,64.01617251
laplace,742,56.19946092,43.80053908
logistic,742,47.03504043,52.96495957
uniform,742,41.50943396,58.49056604
rayleigh,742,63.20754717,36.79245283
normal,752,47.07446809,52.92553191
binomial,752,46.67553191,53.32446809
exponential,752,43.21808511,56.78191489
poisson,752,75.53191489,24.46808511
laplace,752,34.44148936,65.55851064
logistic,752,67.68617021,32.31382979
uniform,752,29.65425532,70.34574468
rayleigh,752,30.18617021,69.81382979
normal,762,26.64041995,73.35958005
binomial,762,33.33333333,66.66666667
exponential,762,57.34908136,42.65091864
poisson,762,73.88451444,26.11548556
laplace,762,37.4015748,62.5984252
logistic,762,37.00787402,62.99212598
uniform,762,34.2519685,65.7480315
rayleigh,762,56.43044619,43.56955381
normal,772,60.10362694,39.89637306
binomial,772,73.44559585,26.55440415
exponential,772,55.31088083,44.68911917
poisson,772,43.39378238,56.60621762
laplace,772,9.844559585,90.15544041
logistic,772,38.73056995,61.26943005
uniform,772,59.84455959,40.15544041
rayleigh,772,72.27979275,27.72020725
normal,782,28.13299233,71.86700767
binomial,782,54.60358056,45.39641944
exponential,782,32.48081841,67.51918159
poisson,782,29.92327366,70.07672634
laplace,782,42.07161125,57.92838875
logistic,782,63.81074169,36.18925831
uniform,782,67.77493606,32.22506394
rayleigh,782,47.18670077,52.81329923
normal,792,30.68181818,69.31818182
binomial,792,78.78787879,21.21212121
exponential,792,38.00505051,61.99494949
poisson,792,75.12626263,24.87373737
laplace,792,64.14141414,35.85858586
logistic,792,27.14646465,72.85353535
uniform,792,55.42929293,44.57070707
rayleigh,792,57.1969697,42.8030303
normal,802,35.5361596,64.4638404
binomial,802,57.73067332,42.26932668
exponential,802,65.96009975,34.03990025
poisson,802,83.41645885,16.58354115
laplace,802,55.11221945,44.88778055
logistic,802,38.65336658,61.34663342
uniform,802,32.79301746,67.20698254
rayleigh,802,75.43640898,24.56359102
normal,812,29.80295567,70.19704433
binomial,812,33.62068966,66.37931034
exponential,812,47.16748768,52.83251232
poisson,812,23.27586207,76.72413793
laplace,812,40.64039409,59.35960591
logistic,812,50.61576355,49.38423645
uniform,812,39.16256158,60.83743842
rayleigh,812,70.32019704,29.67980296
normal,822,39.9026764,60.0973236
binomial,822,52.06812652,47.93187348
exponential,822,31.87347932,68.12652068
poisson,822,39.05109489,60.94890511
laplace,822,74.20924574,25.79075426
logistic,822,76.76399027,23.23600973
uniform,822,37.10462287,62.89537713
rayleigh,822,18.97810219,81.02189781
normal,832,51.92307692,48.07692308
binomial,832,40.26442308,59.73557692
exponential,832,32.09134615,67.90865385
poisson,832,53.36538462,46.63461538
laplace,832,44.35096154,55.64903846
logistic,832,31.00961538,68.99038462
uniform,832,79.08653846,20.91346154
rayleigh,832,68.75,31.25
normal,842,42.51781473,57.48218527
binomial,842,48.81235154,51.18764846
exponential,842,42.04275534,57.95724466
poisson,842,67.695962,32.304038
laplace,842,59.26365796,40.73634204
logistic,842,44.65558195,55.34441805
uniform,842,78.97862233,21.02137767
rayleigh,842,63.5391924,36.4608076
normal,852,60.79812207,39.20187793
binomial,852,39.78873239,60.21126761
exponential,852,37.55868545,62.44131455
poisson,852,38.96713615,61.03286385
laplace,852,26.76056338,73.23943662
logistic,852,24.64788732,75.35211268
uniform,852,36.38497653,63.61502347
rayleigh,852,52.81690141,47.18309859
normal,862,66.93735499,33.06264501
binomial,862,37.81902552,62.18097448
exponential,862,52.32018561,47.67981439
poisson,862,74.82598608,25.17401392
laplace,862,55.56844548,44.43155452
logistic,862,35.03480278,64.96519722
uniform,862,42.22737819,57.77262181
rayleigh,862,68.32946636,31.67053364
normal,872,51.49082569,48.50917431
binomial,872,18.46330275,81.53669725
exponential,872,50.3440367,49.6559633
poisson,872,18.34862385,81.65137615
laplace,872,33.37155963,66.62844037
logistic,872,66.62844037,33.37155963
uniform,872,72.36238532,27.63761468
rayleigh,872,51.72018349,48.27981651
normal,882,67.80045351,32.19954649
binomial,882,71.42857143,28.57142857
exponential,882,71.99546485,28.00453515
poisson,882,71.6553288,28.3446712
laplace,882,58.9569161,41.0430839
logistic,882,60.99773243,39.00226757
uniform,882,38.7755102,61.2244898
rayleigh,882,69.16099773,30.83900227
normal,892,30.15695067,69.84304933
binomial,892,63.4529148,36.5470852
exponential,892,59.64125561,40.35874439
poisson,892,72.30941704,27.69058296
laplace,892,23.20627803,76.79372197
logistic,892,45.51569507,54.48430493
uniform,892,51.23318386,48.76681614
rayleigh,892,19.95515695,80.04484305
normal,902,24.05764967,75.94235033
binomial,902,66.96230599,33.03769401
exponential,902,41.24168514,58.75831486
poisson,902,77.60532151,22.39467849
laplace,902,70.39911308,29.60088692
logistic,902,63.85809313,36.14190687
uniform,902,22.61640798,77.38359202
rayleigh,902,35.14412417,64.85587583
normal,912,69.51754386,30.48245614
binomial,912,50.98684211,49.01315789
exponential,912,35.96491228,64.03508772
poisson,912,65.67982456,34.32017544
laplace,912,45.1754386,54.8245614
logistic,912,41.44736842,58.55263158
uniform,912,70.72368421,29.27631579
rayleigh,912,57.23684211,42.76315789
normal,922,33.29718004,66.70281996
binomial,922,57.26681128,42.73318872
exponential,922,39.69631236,60.30368764
poisson,922,69.63123644,30.36876356
laplace,922,42.95010846,57.04989154
logistic,922,50.10845987,49.89154013
uniform,922,55.7483731,44.2516269
rayleigh,922,85.2494577,14.7505423
normal,932,42.8111588,57.1888412
binomial,932,23.06866953,76.93133047
exponential,932,23.49785408,76.50214592
poisson,932,60.83690987,39.16309013
laplace,932,22.53218884,77.46781116
logistic,932,52.46781116,47.53218884
uniform,932,63.41201717,36.58798283
rayleigh,932,18.77682403,81.22317597
normal,942,52.44161359,47.55838641
binomial,942,32.48407643,67.51592357
exponential,942,71.23142251,28.76857749
poisson,942,61.57112527,38.42887473
laplace,942,50.74309979,49.25690021
logistic,942,76.85774947,23.14225053
uniform,942,31.21019108,68.78980892
rayleigh,942,51.16772824,48.83227176
normal,952,25.52521008,74.47478992
binomial,952,61.34453782,38.65546218
exponential,952,31.51260504,68.48739496
poisson,952,74.15966387,25.84033613
laplace,952,28.78151261,71.21848739
logistic,952,47.37394958,52.62605042
uniform,952,34.87394958,65.12605042
rayleigh,952,65.6512605,34.3487395
normal,962,41.995842,58.004158
binomial,962,73.28482328,26.71517672
exponential,962,66.00831601,33.99168399
poisson,962,23.8045738,76.1954262
laplace,962,70.37422037,29.62577963
logistic,962,65.48856549,34.51143451
uniform,962,53.01455301,46.98544699
rayleigh,962,58.73180873,41.26819127
normal,972,74.07407407,25.92592593
binomial,972,48.45679012,51.54320988
exponential,972,62.65432099,37.34567901
poisson,972,70.47325103,29.52674897
laplace,972,60.59670782,39.40329218
